,transaction_id,customer_Id,tran_date,prod_sub_cat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,prod_cat,prod_subcat,DOB,Gender,city_code,Age_cmde,Age_cat,age_generation
5,97439039119,272357,2014-02-23,8,3,-2,-824,173.04,-1821.04,TeleShop,Electronics,Personal Appliances,1982-09-10,F,6.0,31,26-40,Gen. Y - [1980-1994]
11,25455265351,267750,2014-02-20,12,6,3,1360,428.4,4508.4,e-Shop,Home and kitchen,Tools,1986-10-13,M,1.0,27,26-40,Gen. Y - [1980-1994]
12,1571002198,275023,2014-02-20,6,5,4,587,246.54,2594.54,e-Shop,Books,DIY,1971-09-03,M,6.0,42,41-60,Gen. X - [1960-1979]
14,36554696014,269345,2014-02-20,3,5,3,1253,394.695,4153.695,e-Shop,Books,Comics,1970-06-26,F,10.0,43,41-60,Gen. X - [1960-1979]
15,56814940239,268799,2014-02-20,7,5,5,368,193.2,2033.2,e-Shop,Books,Fiction,1979-06-27,M,9.0,34,26-40,Gen. Y - [1980-1994]
16,54295803788,270787,2014-02-20,12,5,5,584,306.6,3226.6,e-Shop,Books,Academic,1973-10-09,F,6.0,40,26-40,Gen. Y - [1980-1994]
17,25963520987,274829,2014-02-20,4,4,3,502,158.13,1664.13,Flagship store,Bags,Women,1984-05-09,F,2.0,29,26-40,Gen. Y - [1980-1994]
18,17183929085,266863,2014-02-20,1,2,1,1359,142.695,1501.695,TeleShop,Footwear,Mens,1972-11-17,M,6.0,41,41-60,Gen. X - [1960-1979]
19,44783317894,269452,2014-02-20,3,1,3,825,259.875,2734.875,TeleShop,Clothing,Kids,1979-09-18,F,2.0,34,26-40,Gen. Y - [1980-1994]
20,58957828601,269009,2014-02-20,11,5,4,846,355.32,3739.32,TeleShop,Books,Children,1977-12-07,M,2.0,36,26-40,Gen. Y - [1980-1994]
21,9647515879,268934,2014-02-20,7,5,3,1384,435.96,4587.96,TeleShop,Books,Fiction,1980-07-18,F,7.0,33,26-40,Gen. Y - [1980-1994]
22,20781077773,269223,2014-02-20,5,3,3,1203,378.945,3987.945,TeleShop,Electronics,Computers,1977-07-18,F,6.0,36,26-40,Gen. Y - [1980-1994]
23,91116291703,268509,2014-02-20,1,2,4,1243,522.06,5494.06,MBR,Footwear,Mens,1989-08-17,M,10.0,24,10-25,Gen. Z - [1995-2010]
24,68325723297,268516,2014-02-20,9,3,1,877,92.085,969.085,e-Shop,Electronics,Cameras,1983-09-22,F,10.0,30,26-40,Gen. Y - [1980-1994]
25,73235813024,268774,2014-02-20,3,5,1,76,7.98,83.98,TeleShop,Books,Comics,1980-05-21,F,2.0,33,26-40,Gen. Y - [1980-1994]
27,66989395597,272785,2014-02-20,10,3,2,474,99.54,1047.54,TeleShop,Electronics,Audio and video,1979-03-09,M,7.0,34,26-40,Gen. Y - [1980-1994]
29,99581788104,267466,2014-02-20,3,2,1,96,10.08,106.08,Flagship store,Footwear,Women,1987-06-08,F,7.0,26,26-40,Gen. Y - [1980-1994]
30,28396777609,269101,2014-02-19,4,1,4,1386,582.12,6126.12,TeleShop,Clothing,Mens,1980-06-27,M,7.0,33,26-40,Gen. Y - [1980-1994]
31,22391667321,270842,2014-02-19,1,2,5,723,379.575,3994.575,MBR,Footwear,Mens,1984-07-12,M,2.0,29,26-40,Gen. Y - [1980-1994]
32,51075317246,274987,2014-02-19,10,6,5,374,196.35,2066.35,MBR,Home and kitchen,Kitchen,1983-08-10,M,2.0,30,26-40,Gen. Y - [1980-1994]
33,16199275450,275139,2014-02-19,4,2,1,173,18.165,191.165,MBR,Footwear,Kids,1979-12-06,F,8.0,34,26-40,Gen. Y - [1980-1994]
34,22698449434,269136,2014-02-19,7,5,5,189,99.225,1044.225,TeleShop,Books,Fiction,1976-01-07,M,4.0,38,26-40,Gen. Y - [1980-1994]
35,13167171971,275149,2014-02-19,4,3,4,804,337.68,3553.68,MBR,Electronics,Mobiles,1977-06-08,F,8.0,36,26-40,Gen. Y - [1980-1994]
36,32130400636,269772,2014-02-19,12,6,3,229,72.135,759.135,e-Shop,Home and kitchen,Tools,1981-05-25,F,9.0,32,26-40,Gen. Y - [1980-1994]
37,31384765864,267058,2014-02-19,3,2,1,793,83.265,876.265,e-Shop,Footwear,Women,1992-06-02,F,10.0,21,10-25,Gen. Z - [1995-2010]
38,85894118953,271817,2014-02-19,3,2,3,1401,441.315,4644.315,e-Shop,Footwear,Women,1989-12-24,M,8.0,24,10-25,Gen. Z - [1995-2010]
39,63407734630,271322,2014-02-19,3,2,5,1360,714.0,7514.0,Flagship store,Footwear,Women,1979-11-27,F,7.0,34,26-40,Gen. Y - [1980-1994]
40,90740728864,268229,2014-02-19,4,2,5,984,516.6,5436.6,TeleShop,Footwear,Kids,1989-01-03,F,3.0,25,10-25,Gen. Z - [1995-2010]
41,82750983847,267544,2014-02-19,3,5,1,805,84.525,889.525,Flagship store,Books,Comics,1984-12-10,M,7.0,29,26-40,Gen. Y - [1980-1994]
42,67328698675,268755,2014-02-19,3,2,1,1018,106.89,1124.89,Flagship store,Footwear,Women,1984-07-15,F,8.0,29,26-40,Gen. Y - [1980-1994]
43,80381707658,269407,2014-02-19,6,5,5,573,300.825,3165.825,e-Shop,Books,DIY,1978-04-25,F,1.0,35,26-40,Gen. Y - [1980-1994]
44,78709566028,273023,2014-02-19,10,6,2,1052,220.92,2324.92,e-Shop,Home and kitchen,Kitchen,1988-07-24,F,5.0,25,10-25,Gen. Z - [1995-2010]
45,67079812295,271818,2014-02-19,10,3,2,1408,295.68,3111.68,MBR,Electronics,Audio and video,1973-03-04,M,7.0,40,26-40,Gen. Y - [1980-1994]
46,72427583709,268129,2014-02-19,4,4,1,885,92.925,977.925,Flagship store,Bags,Women,1982-07-08,F,9.0,31,26-40,Gen. Y - [1980-1994]
47,14259136777,274477,2014-02-18,10,3,1,1489,156.345,1645.345,TeleShop,Electronics,Audio and video,1976-07-10,F,7.0,37,26-40,Gen. Y - [1980-1994]
48,7313351894,267568,2014-02-18,2,6,4,481,202.02,2126.02,Flagship store,Home and kitchen,Furnishing,1988-07-03,M,5.0,25,10-25,Gen. Z - [1995-2010]
49,37745642681,267098,2014-02-18,1,2,1,109,11.445,120.445,Flagship store,Footwear,Mens,1971-04-27,F,9.0,42,41-60,Gen. X - [1960-1979]
50,13861409908,271608,2014-02-18,1,2,2,1352,283.92,2987.92,MBR,Footwear,Mens,1970-09-02,F,4.0,43,41-60,Gen. X - [1960-1979]
51,58956348529,272484,2014-02-18,4,1,4,1443,606.06,6378.06,TeleShop,Clothing,Mens,1974-04-07,F,4.0,39,26-40,Gen. Y - [1980-1994]
52,58886320392,268715,2014-02-18,10,6,2,768,161.28,1697.28,Flagship store,Home and kitchen,Kitchen,1988-02-27,M,1.0,25,10-25,Gen. Z - [1995-2010]
53,53081075361,273250,2014-02-18,11,6,5,1345,706.125,7431.125,Flagship store,Home and kitchen,Bath,1978-04-25,F,6.0,35,26-40,Gen. Y - [1980-1994]
54,10017543415,267097,2014-02-18,3,5,1,164,17.22,181.22,Flagship store,Books,Comics,1973-05-05,M,2.0,40,26-40,Gen. Y - [1980-1994]
55,34065279733,274562,2014-02-18,6,5,2,280,58.8,618.8,e-Shop,Books,DIY,1971-03-12,M,6.0,42,41-60,Gen. X - [1960-1979]
57,74085729167,268492,2014-02-18,3,5,3,433,136.395,1435.395,e-Shop,Books,Comics,1975-02-17,M,1.0,39,26-40,Gen. Y - [1980-1994]
58,83498320600,273359,2014-02-18,4,1,4,861,361.62,3805.62,e-Shop,Clothing,Mens,1977-05-08,M,7.0,36,26-40,Gen. Y - [1980-1994]
59,83313344780,271288,2014-02-18,4,3,2,84,17.64,185.64,Flagship store,Electronics,Mobiles,1991-02-25,F,3.0,22,10-25,Gen. Z - [1995-2010]
60,96923177403,270778,2014-02-18,11,6,5,1111,583.275,6138.275,MBR,Home and kitchen,Bath,1985-01-18,F,8.0,29,26-40,Gen. Y - [1980-1994]
61,78091789730,271030,2014-02-18,4,1,1,380,39.9,419.9,e-Shop,Clothing,Mens,1979-05-07,M,1.0,34,26-40,Gen. Y - [1980-1994]
62,84466140532,274426,2014-02-18,6,5,5,423,222.075,2337.075,e-Shop,Books,DIY,1982-07-16,F,8.0,31,26-40,Gen. Y - [1980-1994]
63,59232461135,269019,2014-02-17,4,2,2,479,100.59,1058.59,Flagship store,Footwear,Kids,1980-09-05,F,5.0,33,26-40,Gen. Y - [1980-1994]
65,60560888204,271250,2014-02-17,10,6,2,707,148.47,1562.47,Flagship store,Home and kitchen,Kitchen,1976-02-20,M,4.0,38,26-40,Gen. Y - [1980-1994]
68,43561027610,270244,2014-02-17,8,3,1,728,76.44,804.44,e-Shop,Electronics,Personal Appliances,1988-09-26,F,5.0,25,10-25,Gen. Z - [1995-2010]
69,40604748560,269387,2014-02-17,6,5,5,760,399.0,4199.0,Flagship store,Books,DIY,1990-03-02,F,10.0,23,10-25,Gen. Z - [1995-2010]
70,8868056339,268145,2014-02-17,2,6,-2,-152,31.92,-335.92,e-Shop,Home and kitchen,Furnishing,1977-06-27,F,6.0,36,26-40,Gen. Y - [1980-1994]
71,78600072636,273067,2014-02-17,9,3,3,446,140.49,1478.49,TeleShop,Electronics,Cameras,1973-02-21,F,5.0,41,41-60,Gen. X - [1960-1979]
73,94418788162,267559,2014-02-17,10,6,1,620,65.1,685.1,TeleShop,Home and kitchen,Kitchen,1988-05-04,F,2.0,25,10-25,Gen. Z - [1995-2010]
74,86635642295,271763,2014-02-17,12,6,5,562,295.05,3105.05,Flagship store,Home and kitchen,Tools,1979-05-14,M,7.0,34,26-40,Gen. Y - [1980-1994]
75,75980673312,270678,2014-02-17,7,5,4,1377,578.34,6086.34,TeleShop,Books,Fiction,1970-06-08,F,4.0,43,41-60,Gen. X - [1960-1979]
76,88830495604,269018,2014-02-17,10,6,4,307,128.94,1356.94,MBR,Home and kitchen,Kitchen,1989-10-09,M,8.0,24,10-25,Gen. Z - [1995-2010]
77,19729968655,269162,2014-02-16,10,5,2,721,151.41,1593.41,e-Shop,Books,Non-Fiction,1989-05-29,M,3.0,24,10-25,Gen. Z - [1995-2010]
78,8709975598,269867,2014-02-16,11,5,3,1243,391.545,4120.545,e-Shop,Books,Children,1970-12-17,F,1.0,43,41-60,Gen. X - [1960-1979]
79,56483064719,270108,2014-02-16,4,3,2,1037,217.77,2291.77,e-Shop,Electronics,Mobiles,1986-04-19,F,7.0,27,26-40,Gen. Y - [1980-1994]
80,55452156634,273734,2014-02-16,3,5,5,778,408.45,4298.45,e-Shop,Books,Comics,1987-07-11,F,9.0,26,26-40,Gen. Y - [1980-1994]
